material,carbon_footprint_kgCO2e,water_footprint_liters,source_url_water,in_product_dataset
acrylic,kg,,,YES
cashmere,24.56,34160.0,https://www.sciencedirect.com/science/article/pii/S2210670722001688,YES
coated_fabric_pu,11.2,1220.0,https://circumfauna.org/leather-water-footprint,YES
cotton_conventional,kg,,,YES
cotton_organic,kg,,,YES
cotton_recycled,0.98,155.0,https://www.mdpi.com/2071-1050/16/14/5896,YES
elastane,kg,,https://www.fulgar.com/en/feature/282/water-consumption-in-the-textile-industry-challenges-and-solutions,YES
eva,2.3,100.0,,YES
jute,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
leather_bovine,31.5,17080.0,https://circumfauna.org/leather-water-footprint,YES
linen_flax,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
metal_brass,2.056054,https://www.sciencedirect.com/science/article/pii/S0959652622004798,52.0,YES
metal_steel,0.198207,https://waterfootprint.org/media/downloads/Report_49_Waterfootprint_metals.pdf,30.0,YES
modal,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
natural_rubber,1.336861,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,1800.0,YES
polyamide_6,kg,,https://www.fulgar.com/en/feature/282/water-consumption-in-the-textile-industry-challenges-and-solutions,YES
polyamide_66,kg,,https://www.fulgar.com/en/feature/282/water-consumption-in-the-textile-industry-challenges-and-solutions,YES
polyamide_recycled,2.4,80.0,https://www.sciencedirect.com/science/article/pii/S0959652622007088,YES
polyester_recycled,1.5,100.0,https://www.sciencedirect.com/science/article/pii/S0959652622004798,YES
polyester_virgin,kg,,https://www.fulgar.com/en/feature/282/water-consumption-in-the-textile-industry-challenges-and-solutions,YES
rubber_synthetic,3.0,100.0,,YES
silk,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
tpu,4.7,200.0,https://www.fulgar.com/en/feature/282/water-consumption-in-the-textile-industry-challenges-and-solutions,YES
viscose,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
wool_generic,kg,,https://waterfootprint.org/media/downloads/WFA_Paper_13_WaterFootprintCrops_1.pdf,YES
wool_merino,kg,Merino proxied with wool from Australia,,YES
